Election,Election Date,Precinct Code,Precinct Description,Political Party,Voter Count
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2129,PHILA WD 21 DIV 29,NO AFFILIATION,7
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2129,PHILA WD 21 DIV 29,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2129,PHILA WD 21 DIV 29,REPUBLICAN,32
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2130,PHILA WD 21 DIV 30,DEMOCRATIC,218
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2130,PHILA WD 21 DIV 30,UNKNOWN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2130,PHILA WD 21 DIV 30,NO AFFILIATION,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2130,PHILA WD 21 DIV 30,REPUBLICAN,18
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2131,PHILA WD 21 DIV 31,DEMOCRATIC,166
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2131,PHILA WD 21 DIV 31,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2131,PHILA WD 21 DIV 31,INDEPENDENT,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2131,PHILA WD 21 DIV 31,NO AFFILIATION,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2131,PHILA WD 21 DIV 31,REPUBLICAN,30
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2132,PHILA WD 21 DIV 32,NO AFFILIATION,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2132,PHILA WD 21 DIV 32,UNKNOWN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2132,PHILA WD 21 DIV 32,DEMOCRATIC,167
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2132,PHILA WD 21 DIV 32,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2132,PHILA WD 21 DIV 32,REPUBLICAN,30
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2132,PHILA WD 21 DIV 32,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2133,PHILA WD 21 DIV 33,REPUBLICAN,53
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2133,PHILA WD 21 DIV 33,DEMOCRATIC,312
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2133,PHILA WD 21 DIV 33,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2133,PHILA WD 21 DIV 33,NO AFFILIATION,8
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2134,PHILA WD 21 DIV 34,NO AFFILIATION,8
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2134,PHILA WD 21 DIV 34,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2134,PHILA WD 21 DIV 34,DEMOCRATIC,329
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2134,PHILA WD 21 DIV 34,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2134,PHILA WD 21 DIV 34,REPUBLICAN,52
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2135,PHILA WD 21 DIV 35,REPUBLICAN,13
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2135,PHILA WD 21 DIV 35,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2135,PHILA WD 21 DIV 35,DEMOCRATIC,155
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2135,PHILA WD 21 DIV 35,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2136,PHILA WD 21 DIV 36,REPUBLICAN,17
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2136,PHILA WD 21 DIV 36,DEMOCRATIC,77
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2136,PHILA WD 21 DIV 36,NO AFFILIATION,8
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2137,PHILA WD 21 DIV 37,REPUBLICAN,20
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2137,PHILA WD 21 DIV 37,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2137,PHILA WD 21 DIV 37,NO AFFILIATION,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2137,PHILA WD 21 DIV 37,DEMOCRATIC,109
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2138,PHILA WD 21 DIV 38,DEMOCRATIC,188
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2138,PHILA WD 21 DIV 38,REPUBLICAN,39
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2138,PHILA WD 21 DIV 38,OTHER,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2139,PHILA WD 21 DIV 39,REPUBLICAN,39
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2139,PHILA WD 21 DIV 39,DEMOCRATIC,199
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2139,PHILA WD 21 DIV 39,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2139,PHILA WD 21 DIV 39,NO AFFILIATION,7
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2139,PHILA WD 21 DIV 39,UNKNOWN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2140,PHILA WD 21 DIV 40,OTHER,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2140,PHILA WD 21 DIV 40,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2140,PHILA WD 21 DIV 40,REPUBLICAN,31
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2140,PHILA WD 21 DIV 40,NO AFFILIATION,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2140,PHILA WD 21 DIV 40,DEMOCRATIC,179
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2141,PHILA WD 21 DIV 41,DEMOCRATIC,193
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2141,PHILA WD 21 DIV 41,REPUBLICAN,38
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2141,PHILA WD 21 DIV 41,NO AFFILIATION,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2141,PHILA WD 21 DIV 41,GREEN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2141,PHILA WD 21 DIV 41,NON-PARTISAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2142,PHILA WD 21 DIV 42,NO AFFILIATION,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2142,PHILA WD 21 DIV 42,DEMOCRATIC,136
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2142,PHILA WD 21 DIV 42,REPUBLICAN,34
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2142,PHILA WD 21 DIV 42,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2143,PHILA WD 21 DIV 43,DEMOCRATIC,132
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2143,PHILA WD 21 DIV 43,REPUBLICAN,27
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2144,PHILA WD 21 DIV 44,DEMOCRATIC,174
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2144,PHILA WD 21 DIV 44,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2144,PHILA WD 21 DIV 44,REPUBLICAN,53
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2144,PHILA WD 21 DIV 44,NO AFFILIATION,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2144,PHILA WD 21 DIV 44,GREEN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2145,PHILA WD 21 DIV 45,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2145,PHILA WD 21 DIV 45,DEMOCRATIC,251
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2145,PHILA WD 21 DIV 45,REPUBLICAN,48
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2145,PHILA WD 21 DIV 45,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2201,PHILA WD 22 DIV 01,DEMOCRATIC,403
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2201,PHILA WD 22 DIV 01,NO AFFILIATION,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2201,PHILA WD 22 DIV 01,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2201,PHILA WD 22 DIV 01,REPUBLICAN,12
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2202,PHILA WD 22 DIV 02,DEMOCRATIC,359
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2202,PHILA WD 22 DIV 02,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2202,PHILA WD 22 DIV 02,UNKNOWN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2202,PHILA WD 22 DIV 02,NO AFFILIATION,9
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2202,PHILA WD 22 DIV 02,REPUBLICAN,7
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2203,PHILA WD 22 DIV 03,NO AFFILIATION,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2203,PHILA WD 22 DIV 03,DEMOCRATIC,246
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2203,PHILA WD 22 DIV 03,SOCIALIST DEMOCRAT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2203,PHILA WD 22 DIV 03,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2203,PHILA WD 22 DIV 03,REPUBLICAN,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2204,PHILA WD 22 DIV 04,DEMOCRATIC,239
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2204,PHILA WD 22 DIV 04,NO AFFILIATION,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2204,PHILA WD 22 DIV 04,NONE,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2205,PHILA WD 22 DIV 05,UNKNOWN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2205,PHILA WD 22 DIV 05,NO AFFILIATION,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2205,PHILA WD 22 DIV 05,INDEPENDENCE,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2205,PHILA WD 22 DIV 05,DEMOCRATIC,265
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2205,PHILA WD 22 DIV 05,REPUBLICAN,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2206,PHILA WD 22 DIV 06,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2206,PHILA WD 22 DIV 06,DEMOCRATIC,327
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2206,PHILA WD 22 DIV 06,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2206,PHILA WD 22 DIV 06,REPUBLICAN,8
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2206,PHILA WD 22 DIV 06,NO AFFILIATION,6
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2207,PHILA WD 22 DIV 07,GREEN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2207,PHILA WD 22 DIV 07,DEMOCRATIC,277
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2207,PHILA WD 22 DIV 07,NO AFFILIATION,8
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2207,PHILA WD 22 DIV 07,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2207,PHILA WD 22 DIV 07,REPUBLICAN,12
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2208,PHILA WD 22 DIV 08,NO AFFILIATION,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2208,PHILA WD 22 DIV 08,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2208,PHILA WD 22 DIV 08,REPUBLICAN,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2208,PHILA WD 22 DIV 08,DEMOCRATIC,206
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2209,PHILA WD 22 DIV 09,NO AFFILIATION,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2209,PHILA WD 22 DIV 09,REPUBLICAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2209,PHILA WD 22 DIV 09,DEMOCRATIC,183
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2210,PHILA WD 22 DIV 10,DEMOCRATIC,218
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2210,PHILA WD 22 DIV 10,REPUBLICAN,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2210,PHILA WD 22 DIV 10,GREEN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2210,PHILA WD 22 DIV 10,INDEPENDENCE,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2210,PHILA WD 22 DIV 10,NO AFFILIATION,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2210,PHILA WD 22 DIV 10,NON-PARTISAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2211,PHILA WD 22 DIV 11,DEMOCRATIC,144
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2211,PHILA WD 22 DIV 11,REPUBLICAN,10
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2211,PHILA WD 22 DIV 11,NO AFFILIATION,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2212,PHILA WD 22 DIV 12,REPUBLICAN,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2212,PHILA WD 22 DIV 12,DEMOCRATIC,184
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2212,PHILA WD 22 DIV 12,UNKNOWN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2212,PHILA WD 22 DIV 12,NO AFFILIATION,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2212,PHILA WD 22 DIV 12,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2213,PHILA WD 22 DIV 13,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2213,PHILA WD 22 DIV 13,REPUBLICAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2213,PHILA WD 22 DIV 13,DEMOCRATIC,225
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2213,PHILA WD 22 DIV 13,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2213,PHILA WD 22 DIV 13,UNKNOWN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2213,PHILA WD 22 DIV 13,AMERICAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2214,PHILA WD 22 DIV 14,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2214,PHILA WD 22 DIV 14,DEMOCRATIC,238
